individual,language,filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,TGT_first,speaker_tgt_oth,speaker_x,correct_answer,binarized_answer,nb_stimuli,TGT_first_code,language_code,articulation,babelmulti,fishermono,fishertri,deepspeech,dpgmm,mfccs
0,english,EN889,s,ɪ,k,t,1930,1917,1894,True,5802,3851,1,1,12,1,0,0.056298788340688466,0.42145685086346757,0.4673077000010091,0.44047186987445086,0.48962554358158933,9.08871540329654,0.38610249461881785
0,english,FR716,j,v,a,ɛ,369,410,250,False,M04_O,F02_N,-2,-1,13,0,0,-0.11035061023491821,0.0752161402314736,0.20141056506231603,0.15993733678450361,0.056613736881411136,-1.4539992066559222,0.16464044019807622
0,english,EN1996,ʃ,s,ʌ,b,3522,3590,3524,False,188,4926,2,1,14,0,0,0.35935146373644783,0.2876117031558188,0.24332190926245945,0.30496745933638825,0.25457718692231324,3.111389221869408,0.2527521345541476
0,english,FR1561,ɛ,t,s,e,442,1406,441,True,F01_N,M07_N,3,1,15,1,0,0.01837353185716961,0.1243728703378395,0.1447153210882377,0.1694428216304822,0.07041430873144394,6.802103558451087,-0.023793842836657864
0,english,FR2960,o,ɛ,s,k,10014,198,10015,False,M10_N,M08_N,3,1,16,0,0,0.4542320561120877,0.2966060450238271,0.30785088490893153,0.29173157662135574,0.061196685391394445,11.34049353123016,0.3233819202500538
0,english,EN3,æ,ɑ,b,k,1846,1845,1848,True,8193,6509,-3,-1,17,1,0,0.0789045415988254,0.20407137160397626,0.3387921428219189,0.32452285288852645,0.19799661351623155,8.225729560172677,0.1972470756957011
0,english,FR2643,u,a,d,t,9029,9028,9030,True,F01_O,F02_N,3,1,18,1,0,0.15958617831129285,0.08106151444732879,0.0872362011087715,0.06002114399775271,0.11713582404396083,-2.7675935831177103,0.038741966213148515
0,english,EN44,ʌ,æ,t,k,23,125,21,False,5189,511,3,1,19,0,0,0.11139068503201043,0.3172110740437198,0.18061597996146778,0.2550522709067973,0.2945453419150825,4.223862963226073,0.2237732227746515
0,english,FR2760,ɔ,ɑ̃,d,k,1611,1610,1612,False,F01_O,F06_N,3,1,20,0,0,0.32104216225188376,0.24725957699283674,0.12710884821242757,0.19490119684686885,0.05542989716753388,8.999629702898108,0.19475141785597438
0,english,EN1817,ɹ,d,z,ɪ,4226,2302,4225,True,5189,3851,2,1,21,1,0,0.296351103106563,0.10010707243310246,0.1882337475689696,0.28782664673913927,-0.029826775516979764,7.01531364377869,0.0012768047114477543
0,english,FR939,l,n,i,ɛ,2360,905,382,True,F02_O,M04_O,-2,-1,22,1,0,-0.7393927089456667,-0.1312709932506827,-0.07991883024565594,-0.05807762049094378,-0.034504825015941876,-6.321383039494165,0.04509960605150398
0,english,EN1836,n,z,ɪ,h,4030,2376,4029,False,8193,188,3,1,23,0,0,1.044767198712623,0.3685489051270468,0.5449559686399442,0.48194406994719585,0.2695111685050056,19.03332210129151,0.3612608761535396
0,english,FR586,u,i,k,p,760,744,118,False,M07_N,M01_O,3,1,24,0,0,0.12099761686538002,0.13642796656514528,0.275686465682028,0.21377873287653953,0.1607185641597097,2.6278421851018674,0.10325033984459542
0,english,FR1949,ʁ,ɛ̃,t,a,1660,616,326,True,M04_O,M10_N,1,1,25,1,0,0.8303879623946507,0.24295532724252245,0.16028359632989753,0.12426761717598778,0.04069401029669284,10.726232975657695,0.30671492482403717
0,english,EN1043,v,m,ɪ,s,1018,1635,1017,True,1571,5802,2,1,26,1,0,-0.2799697439661264,-0.05085582459199478,-0.04451343666654817,-0.024101350903994345,0.16407431837111963,2.8355044343484375,0.05814474160781796
0,english,FR158,b,z,e,ɔ,272,303,274,False,M07_N,M01_O,3,1,27,0,0,0.3593355995805999,0.2612552689317953,0.3407875266440047,0.33947609757553304,0.18922722464559028,10.292032319449461,0.20955810366452693
0,english,EN2158,h,tʃ,z,ɛ,841,634,842,False,5189,4926,3,1,28,0,0,0.0470735373607806,0.1127926413018761,0.0056647598125026954,0.16917519337587555,0.15691882842183097,6.32231142207678,0.051465278674490356
0,english,FR1602,t,ʃ,i,a,1421,1099,292,False,F02_O,M10_N,2,1,29,0,0,0.45722349513469485,0.23457817639528428,0.3956699124453126,0.40686055027445883,0.11865300497631737,7.582525428527768,0.2197481631199304
0,english,FR2159,k,s,ɛ,a,952,1796,1988,True,F02_N,M01_O,3,1,30,1,0,0.7146753294299343,0.2507478718547376,0.3757075116436654,0.4529431778999408,0.05246953237735641,12.845246976594622,0.06928074557105479
0,english,EN1341,s,m,ɪ,ɪ,2180,3052,4504,True,8824,1571,1,1,31,1,0,0.9426818986420569,0.6262830498323034,0.5194715716423891,0.6767929578603652,0.082308763508808,23.098591703148976,0.7919783003731207
0,english,FR1013,l,ɡ,e,a,1087,689,1033,True,M08_N,M10_N,1,1,32,1,0,0.7293340585026482,0.08813568338124822,-0.02212946274437899,-0.015939505025773015,-0.13706493597582348,5.1941999405011785,0.4244667185308221
0,english,FR1616,t,ʒ,a,ɛ,1160,471,2169,False,F01_O,M01_O,2,1,33,0,0,0.6293019766936054,0.5438532684670452,0.43683800063877665,0.5053579489511212,0.17150009716114734,5.6806187241329145,0.24064619635033935
0,english,EN855,ŋ,f,ɪ,t,3121,3286,2444,True,188,5189,3,1,34,1,0,-0.0458690121841977,0.47742983621300833,0.6214479061719913,0.5102871049437412,0.35459303289067357,16.05711495605963,0.17591275781654392
0,english,EN1318,ɡ,n,ɪ,f,2134,4325,2136,False,5189,188,-3,-1,35,0,0,0.17048332200565297,0.08452748407047583,0.15908676695357077,0.12737604014914866,0.3067526292758026,4.9484874311679405,0.06813102385224579
0,english,FR2441,z,t,i,ɛ,831,806,302,True,M08_N,M10_O,3,1,36,1,0,0.09631570305580439,0.1361759485730779,0.25164584307930205,0.22278205004182428,0.17339498727416158,0.7292392662386931,0.1679916519403667
0,english,FR380,ɛ̃,e,s,k,200,525,614,False,M10_N,F02_N,3,1,37,0,0,-0.16557517687297413,0.27455802716287203,0.20907186534989808,0.20128327578084831,0.46593771839054193,2.15596138281507,0.15662429617100626
0,english,EN631,ɑ,oʊ,k,s,1852,1886,1850,True,2294,3851,3,1,38,1,0,0.05805774545510456,0.04385942324279912,0.08246558402474069,0.0411700945763267,0.14232803171450692,2.743803580921181,0.03274843174414077
0,english,FR484,ɡ,f,ɛ,ɛ,449,686,447,False,F03_O,F05_N,3,1,39,0,0,0.16908806339259075,0.5528907916480426,0.53835256841209,0.6444959616996825,0.1029461521622157,10.48767430710751,0.36870624185079426
0,english,FR2847,ɛ,ø,p,d,1943,1048,9057,True,F02_N,M10_O,1,1,40,1,0,0.4353677690020785,0.007115254741004606,-0.031897865858170116,-0.016781385857511544,0.12186138391367518,-4.946692361371266,-0.26770631460266325
0,english,FR2890,m,t,i,a,1111,1381,268,False,F02_N,M10_N,3,1,41,0,0,0.7657973010001371,0.3424188828691287,0.45095793683288776,0.47596883539537266,0.27650056304474324,6.781523675215105,0.07975956168112663
0,english,EN338,ɪ,ʊ,p,t,2595,1204,79,False,188,4926,2,1,42,0,0,0.8868399084484986,0.2717519966618074,0.3413186513511798,0.3633635080504046,0.050573513649115553,4.1427976535150535,0.12794530943508176
0,english,EN995,l,ŋ,ɪ,z,3298,3819,3300,True,5802,6509,3,1,43,1,0,0.0944352559620889,0.6024831545044976,0.5062833518206953,0.5132955397723822,0.42799940399675956,13.363673607665781,0.3840327153710736
0,english,FR1991,ɲ,ʁ,i,d,2335,1673,455,True,M08_N,F01_N,3,1,44,1,0,0.0227478758382601,0.13213910625832104,-0.018560822620136586,0.0873358831615938,0.14064471117598298,3.00356124048462,-0.29195324383142496
0,english,FR270,d,v,a,ɛ,229,1161,1799,False,F01_O,F06_O,2,1,45,0,0,0.23997657530604266,-0.05545118691235573,0.16406864104362628,0.13694095588104438,-0.2006999835523986,-5.172599762077011,-0.05201376711579908
0,english,EN213,t,d,æ,ð,3922,3110,3604,True,5802,188,2,1,46,1,0,-0.0637733891473472,0.12488586033079829,0.22541976396244556,0.16458995137634486,0.06513591360942184,2.112158920657903,-0.14902445142299925
0,english,FR458,w,f,k,a,656,478,550,False,F06_N,F02_N,3,1,47,0,0,0.2296464946687662,0.34264466864570614,0.18956064527070815,0.3180801994572094,0.1081911162915935,6.4218980260949525,0.24377988107099446
0,english,EN529,ɛ,i,b,d,452,1095,58,True,188,3347,3,1,48,1,0,0.02423294899927353,0.2804277420696578,0.3775643800849167,0.39934102160335366,0.14002587254163196,9.965820700169711,-0.0034572158602358405
0,english,FR334,s,e,t,a,1209,509,1210,False,F01_O,M04_O,1,1,49,0,0,0.002959311493835548,0.15088297619571345,0.18835612723906303,0.19454173054051027,0.028106902141376455,5.914540493486506,-0.004827571823619037
0,english,EN1617,t,ŋ,ɑ,ɡ,4412,4411,4414,True,1571,4926,3,1,50,1,0,0.5106166786195244,0.3483294000552298,0.5480634553589322,0.5346580223253171,0.4443545455608674,10.553288945844152,0.1001927753132883
0,english,FR1128,ɡ,m,a,ɛ,315,1136,1542,False,F06_N,F02_O,3,1,51,0,0,0.14227679077542793,0.3819311355996789,0.3553825555541872,0.5211548405006312,0.14021640427089221,1.9902497163010295,-0.031957101651293396
0,english,FR737,j,y,t,e,826,827,493,True,M07_O,M01_O,3,1,52,1,0,0.14471714460830232,0.1084301811767111,0.16158214298501095,0.1629899347867686,-0.029044739488133464,5.551720119785902,0.15320952012725947
0,english,FR2498,f,b,a,a,7098,9007,696,False,F10_O,F01_O,-1,-1,53,0,0,0.2538469559188571,0.16437326523939866,0.07139271658742519,0.015194892141401906,0.06647774344023627,0.6351642851840609,0.08876961274507433
0,english,EN1402,b,w,z,ɛ,794,1638,633,False,188,5189,2,1,54,0,0,0.14420469472975744,0.1936446524642208,0.3167050648620342,0.37595831431840765,0.057397422188383285,1.7103844360472813,0.18235126415940917
0,english,FR656,ɛ̃,i,d,p,202,773,204,False,F01_O,M01_O,3,1,55,0,0,0.2215373458374158,0.1509579109105988,0.14968007419611584,0.18242756734415977,0.08287871665573487,4.126537962735421,0.1964367567588976
0,english,EN127,f,tʃ,ɪ,p,3046,3045,3270,True,8193,1571,2,1,56,1,0,0.17319806119034187,0.3082804293615815,0.29661894822478635,0.3220034975029796,0.43758865612761694,9.720777686066397,0.36083259563024084
0,english,FR2653,a,y,s,k,9031,558,9032,True,F06_N,F10_O,3,1,57,1,0,0.077038322570398,0.270504792953,0.16099877448290384,0.3669714999082097,0.08564282851898541,7.047139161797467,0.2470318904821216
0,english,FR1856,ɔ̃,ɑ̃,t,s,2528,2527,2599,False,M08_N,M07_N,2,1,58,0,0,-0.067844473365265,-0.06671975818556056,0.0032150578301895494,-0.009694224588612188,-0.06454236736419161,-0.4604270993481565,-0.069311625849371
0,english,EN1539,s,z,æ,k,5506,5507,2855,True,1571,8193,3,1,59,1,0,-0.021301576298479896,0.026656708192827505,0.007431197372032572,-0.046655182448024135,0.022710368330391306,3.9152598308221283,0.05019499621557588
0,english,EN702,b,d,æ,s,1974,2972,1976,False,3347,8193,-3,-1,60,0,0,-0.031486469295431085,0.0665430511604127,0.05265129669108598,-0.009074661718084132,0.25001095240515847,4.733767352917027,0.0719037163830113
0,english,FR1712,v,ʁ,i,ɛ,816,2367,128,False,F02_O,M10_N,1,1,61,0,0,0.4656491037735213,0.06776111682709263,0.1448673268008166,0.15169806707355127,0.05572052936275629,-1.4154204933488508,0.27158157547517947
0,english,EN1886,k,h,s,æ,4270,3975,2705,False,511,6895,3,1,62,0,0,0.23401176276048352,-0.061078838990437756,0.024045808635323573,0.018035317678706697,0.0708640840901209,2.9776356995892517,0.145872534968431
0,english,FR2008,ʒ,ɲ,a,i,1676,461,1677,False,F02_N,M10_N,3,1,63,0,0,0.07421531810202131,0.3534097395096642,0.40897159389352133,0.44177313371895743,0.12686556358734724,17.255754897594482,0.06940664164538135
0,english,FR209,d,l,i,ɛ,7,2853,5,True,M01_O,F02_N,-1,-1,64,1,0,0.1718545865149354,0.02881988540802527,-0.12136485444134854,-0.03244374705742037,0.11315304984716856,-0.9397698704990258,-0.24449823626040001
0,english,FR781,k,l,a,a,1984,1985,991,True,F10_O,M10_N,3,1,65,1,0,0.36198170530867385,0.6123689802902821,0.6636404477809428,0.7001210936912028,0.05367887710702335,16.1772711183605,0.025556946369792888
0,english,EN1734,w,z,v,ɪ,3029,2311,3027,False,8824,2741,3,1,66,0,0,0.8830752502630788,0.36319767741779035,0.40052679722630014,0.42959441602106674,0.4358572606885041,8.37654520549518,0.3841847043860106
0,english,EN1274,w,l,s,ɪ,788,716,789,False,8193,6509,2,1,67,0,0,0.22819116993114258,-0.02451489210597252,0.14950672247094882,0.11629362175777874,0.05825801690578725,-0.6023895512076267,0.0746074698217487
0,english,FR798,m,k,a,i,900,899,640,False,M08_N,F02_N,1,1,68,0,0,0.11424698811665557,0.17612830589685136,0.2702644068373864,0.26823054015258996,0.09853913772205747,3.253436924009735,0.07487959786285947
0,english,FR491,f,ʁ,a,ɛ,633,1684,239,True,F02_N,M08_N,3,1,69,1,0,-0.5001941995307931,0.4047854174548968,0.42889867880923527,0.28760688242507204,0.028352020478179196,18.322725223542445,0.20859320531978898
0,english,EN199,d,n,ɪ,s,975,987,977,True,8824,4926,3,1,70,1,0,0.07558476196399516,0.12244979885574592,0.18514490648617304,0.10547926027797772,0.15162035471766733,6.090506858103711,0.2675790954621761
0,english,EN189,d,m,z,ɛ,927,1639,2285,True,8193,3851,-2,-1,71,1,0,0.2750713746390897,0.3251079028186469,0.2619897631788458,0.3039926658209309,0.032415765292628906,5.562842213057312,0.225790866887093
0,english,FR56,ɑ̃,a,d,s,165,147,166,False,M04_O,M10_N,3,1,72,0,0,0.00418314774174966,0.019237152845910654,0.052844575100144286,0.03506240386073667,0.0004135940451213127,1.0601793672550297,0.13421975123801644
0,english,FR1219,ɲ,n,i,i,453,1190,998,True,M10_N,F06_O,1,1,73,1,0,0.0004904677521515577,-0.07015287660380948,-0.08449384054992842,-0.10360538110301332,-0.012501069240107632,2.8377691663614995,-0.22537022945594104
0,english,EN1417,ð,h,z,æ,3930,3931,2208,True,8824,5802,3,1,74,1,0,0.24300162430331765,0.34163018208195745,0.5438434336736728,0.4549575078089696,0.23694776688203895,5.5125434169022185,0.2951274337332183
0,english,FR2415,z,m,ɛ,ɔ,420,1109,421,True,F01_O,F03_O,2,1,75,1,0,0.5826587814821331,0.5243827893205381,0.5271103914167935,0.5438984950216801,0.11599972181766505,11.921729931863567,0.14304807125290997
0,english,FR1825,ø,ɔ̃,d,p,1512,1568,1514,True,F01_N,F06_O,3,1,76,1,0,0.18284775766249817,0.3989284398181451,0.18396660052287644,0.18328624451010078,0.19318550380662292,5.333434101678639,0.3260828881318136
0,english,EN564,p,z,æ,t,3865,5277,4425,False,3347,1571,-2,-1,77,0,0,0.3594839655693573,0.2786541608081012,0.31597114391947295,0.2683900352564496,0.2449224511262661,6.707744800025429,0.15735817233534777
0,english,FR1256,s,o,k,p,1207,733,746,False,M04_O,M10_N,2,1,78,0,0,0.3940732169409941,0.3326097825473662,0.33225455375366164,0.30182144848827036,0.3965401901065931,11.969551929748565,0.3450717642557998
0,english,EN2167,k,ŋ,ɪ,t,2724,2444,2722,True,5189,3851,3,1,79,1,0,0.01173734434976903,0.383319878827796,0.45434460805819443,0.4252272737899151,0.2485491992570924,16.191892250708822,0.03698458544830785
0,english,EN257,ɛ,oʊ,s,k,571,1100,155,True,5802,6509,3,1,80,1,0,0.01810518804162564,0.13873080805965432,0.3745591244953487,0.25420771632379335,0.11518662419321302,9.524742420700186,0.33512854808430015
0,english,FR2464,z,j,i,e,7001,7000,9001,False,F05_N,F10_O,-3,-1,81,0,0,0.49586253949934944,0.1708220973299594,0.10586890017632167,0.13317304031702937,0.1583087918385142,6.765273534851171,0.5168171783813426
0,english,FR2719,t,b,e,ɔ,9040,274,1394,True,M01_O,F06_N,2,1,82,1,0,-0.26916935778747836,0.016897415228968815,0.03640604362238187,0.02306455390932083,-0.055132532432415116,1.8471167110448246,0.02397782463510334
0,english,FR684,j,l,a,a,2548,2982,1965,False,F06_N,F02_N,1,1,83,0,0,0.008196188355450107,0.2558254520484863,0.09579887759047656,0.21916612746133624,0.0004114034135169753,2.0918094398349023,0.13178798226386512
0,english,FR865,k,y,s,a,942,670,937,True,F06_N,F02_N,1,1,84,1,0,0.5943698756784287,0.23435642262744416,0.14154987185769807,0.212313624445239,0.2660040530709647,4.127217942413517,0.1276387794084326
0,english,EN52,i,æ,p,s,1882,1843,1448,False,3347,6509,3,1,85,0,0,0.388582135743293,0.2628495466917753,0.31371402523239245,0.36303902773650654,0.17629911113774088,12.624654212145735,0.04924161793419557
0,english,EN1882,f,h,z,ɪ,2002,2580,4209,False,3347,5189,2,1,86,0,0,-0.05718451509998301,0.12623814597025668,0.030463735324386954,0.1477459118385498,-0.06445357763565596,8.53569749205235,0.20882032300217507
0,english,EN553,ɹ,p,ɑ,t,3960,3267,3272,True,8193,4926,3,1,87,1,0,-0.17717637536524167,0.35246817418455556,0.5015943583709994,0.5367649599995072,0.23058510654286496,8.646245746961867,0.30676596948516566
0,english,EN2150,i,l,s,ɪ,963,979,694,False,3851,5189,2,1,88,0,0,0.03470818970072165,0.3644554598887776,0.4481291996985562,0.4358731619856976,0.20124637154018787,14.112236155006453,0.378296639186536
0,english,FR899,k,ʃ,a,t,955,213,57,True,F03_O,M10_N,3,1,89,1,0,0.061446256338162364,0.7114866904424506,0.6841735897506763,0.5893912881731624,0.4492135592373573,17.437237171099696,0.29562346581098164
0,english,EN698,ʌ,t,k,s,1849,1896,1851,False,3851,8193,3,1,90,0,0,-0.023049414385548805,0.3803616997931243,0.26948728277609724,0.3725250083062498,0.15161170402451074,14.394951988378743,0.27550641335029974
0,english,FR1985,ʒ,ɡ,i,a,1154,873,1153,True,F01_O,F03_O,-2,-1,91,1,0,0.02450473434096856,0.1754358661124868,0.13885316516275192,0.2509588481490917,0.1456992716563057,5.367902722674977,-0.05840788552360754
0,english,FR2487,ʒ,v,a,u,7085,7086,7087,True,M08_N,M01_O,3,1,92,1,0,-0.010070908302865611,0.33546286473029296,0.19190289929230164,0.3211896594681626,-0.05547521499789543,10.661872811115432,0.18836887993883578
0,english,FR732,w,j,v,a,821,808,822,False,F01_O,M10_N,3,1,93,0,0,0.5670778500236326,0.2461130174212206,0.104747781459404,0.19467320309374114,0.1089092419160671,5.390746878716133,0.08478746538439208
0,english,FR1682,ɛ̃,u,s,d,1459,1379,1460,False,F10_O,F06_N,1,1,94,0,0,0.0736858106500885,0.2738735446056285,0.18436436440781756,0.2712507551768347,0.058780014664035374,2.8030005638540114,0.12224922936969707
0,english,EN2125,u,eɪ,t,k,215,266,216,True,5189,6509,3,1,95,1,0,0.6569638288109558,0.31708239019042717,0.47291513382051364,0.41217722536622825,0.13059934800064332,5.773505141088294,0.03149891791586734
0,english,FR356,ø,e,d,s,571,570,149,False,M07_N,M01_O,3,1,96,0,0,0.05159053489324672,0.06240950170653464,0.006256337336830398,0.0808667179709931,-0.091145248604387,3.8610926289579055,0.17431267278085005
0,english,FR1241,n,ʃ,i,ɛ,1194,469,80,True,F03_O,M10_N,3,1,97,1,0,-0.01650166589393276,0.49818713850268204,0.543864589349056,0.5257749399747313,0.034216440032079465,16.22400687736795,0.3063180631139717
0,english,FR2459,p,t,i,ɛ,94,924,95,True,F02_O,F01_O,1,1,98,1,0,0.22097377698820952,0.02016837107326408,0.07469645781566037,0.059611995869466416,0.09272525348015348,3.4869658205068905,0.014736930978137996
0,english,EN594,i,s,k,p,1959,1893,1960,False,6509,3851,3,1,99,0,0,0.08166206768047907,0.4212387998855303,0.42135619476502656,0.5115794699010623,0.4611332803454589,13.257021858108684,0.3227316187136898
0,english,FR1410,s,v,i,a,1324,1325,286,False,M07_N,F01_N,3,1,100,0,0,-0.06547447867451861,0.16691047597642517,0.20142399291652413,0.22652789360893727,0.2938712498895511,2.748947481668525,0.20277622305447396
0,english,EN1286,ŋ,v,ɪ,z,3549,3550,3451,False,8824,8193,3,1,101,0,0,0.2432321519086451,0.4959264658861665,0.6402629537425637,0.5594336940144593,0.34928737601435894,10.39887278596636,0.13005032370649827
0,english,FR407,f,n,a,ɛ,353,270,239,True,F01_O,M08_N,3,1,102,1,0,-0.11334949315009246,0.24728444325137233,0.199888709569645,0.2344090803629747,0.07358334114710086,7.3706606884084955,0.1065646943702232
0,english,EN1703,m,w,d,ɪ,1150,1822,2804,True,5802,3347,3,1,103,1,0,0.3713554456548784,0.10818596463091812,0.2084682818876603,0.19363756514446995,0.0664974800369893,5.14571554105866,0.11239929377698077
0,english,EN1185,b,n,v,ɑ,4215,4222,4214,True,8824,1571,3,1,104,1,0,0.43087657337631236,0.38003333627779085,0.2723842408055773,0.28350751876870195,0.25653855251598634,14.237392228421893,0.14624293955972756
0,english,FR1634,y,u,s,s,2925,2924,2815,False,M04_O,M10_N,-1,-1,105,0,0,-0.0013393662751118307,0.1743270563816497,0.04861426463175694,0.03550547100106094,0.02552813637331386,1.0881247799175515,0.27141380854521713
0,english,FR1961,ʁ,ɡ,a,ɛ,1663,315,324,True,F06_N,M10_N,3,1,106,1,0,0.04114985075880373,0.5503987000620296,0.43471898934602515,0.34977961559729864,-0.09078980283720606,7.34772728481814,0.4937290149738196
0,english,EN1032,n,m,ɪ,s,870,865,2698,False,6509,1571,1,1,107,0,0,-0.11243427785205251,-0.12469501852338788,-0.08245959552058618,-0.0818414396108168,0.0029714071271285114,-2.0203018147300043,0.09421800808629954
0,english,EN871,f,z,ɪ,ð,2441,3555,2442,True,8824,5189,3,1,108,1,0,0.33623015978325865,-0.15660108147998458,-0.07366602076697493,-0.050926764218471976,0.07704523551545073,0.1756578465919496,-0.156316213972564
0,english,EN430,t,oʊ,s,b,2864,2863,1970,False,2741,8193,3,1,109,0,0,0.2290397212296857,0.33339409658526326,0.42486673535196084,0.426376571753282,0.16570573944387146,16.557344729891927,0.09735042879985345
0,english,FR1931,ɔ̃,ʁ,k,d,1589,2567,1590,True,F01_O,M10_N,-2,-1,110,1,0,0.05596785258287329,-0.102787415112499,-0.09756524099534802,-0.16011083991461283,-0.02097069834057852,3.5608018240672834,0.19859509567983058
0,english,FR566,i,t,k,e,704,755,706,False,M04_O,F06_O,-2,-1,111,0,0,-0.37793629831731357,-0.07773833300416344,-0.05885130391700699,-0.028369417965738553,-0.04538242806866544,-2.414828907363125,0.07442014018975518
0,english,FR2059,a,s,i,t,1690,1339,1691,True,F02_N,M08_N,3,1,112,1,0,0.12354349177183588,0.47788325642580254,0.2870712795407522,0.28787988314893165,0.035285050939457774,10.867088976355783,-0.003365007121890806
0,english,EN1866,w,h,t,ɛ,1219,1133,1316,False,1571,4926,3,1,113,0,0,0.329949891479608,0.3407321926138225,0.4660149861849968,0.38833987748823484,0.15803210684484142,7.888876316513496,-0.19903987185295768
0,english,FR1001,l,ɛ,i,d,1874,610,1081,True,F01_O,F02_N,3,1,114,1,0,-0.12273248492653832,0.1726632971726753,0.08066220849374373,0.03348638518820668,-0.11346675958802077,5.375185061381943,0.22706142898234521
0,english,FR2856,p,ɡ,a,a,1309,1310,1311,False,M04_O,M10_N,3,1,115,0,0,1.0041669358611705,0.36323994550729366,0.3136755604622342,0.40409304600533685,0.02910986546594163,8.794331544421777,0.36547029684526877
0,english,EN1679,ʌ,ɪ,d,z,276,1950,1946,True,8824,188,3,1,116,1,0,-0.09287276071033235,0.3018474447776996,0.2981984749385317,0.32180592623979676,0.15825570047246706,7.608912404199964,0.08963372153139992
0,english,FR90,a,ɛ̃,p,t,2560,2559,2569,False,F06_O,M10_N,2,1,117,0,0,-0.07377179161332115,0.17681577830843886,0.21507804449217238,0.11706941406866683,0.09791146533300599,4.612618328850942,-0.05862218559117971
0,english,FR193,b,ʒ,a,s,341,342,307,True,M04_O,M10_N,3,1,118,1,0,-0.12274383571717873,0.024350161639142054,0.13939160569745646,0.07355301101598777,0.16712763268493824,1.3418562474874616,-0.05944669305259076
0,english,FR1174,p,n,a,ɛ,1155,270,277,False,F01_O,M10_N,3,1,119,0,0,0.4861730590739542,0.2902327421149935,0.2638046857561471,0.29424581653859544,0.05474209964583643,6.900306142573653,0.14612223662876922
0,english,EN735,d,f,z,ɑ,2110,2221,2112,True,5189,8824,3,1,120,1,0,-0.2194545651751006,0.03665374190394605,0.026030982146360238,0.04678099831789906,-0.017794591631271173,-5.715827733354123,-0.2362701971845863
0,english,EN2012,ð,l,ɪ,ɪ,2354,2489,2114,False,5802,8824,-1,-1,121,0,0,0.21859851740108338,0.3685832663446838,0.4510582444988034,0.515894874521636,0.425474008983328,17.47631032436574,0.33705449083709615
0,english,FR915,k,ʒ,i,ɛ,889,1317,58,True,F02_O,F02_N,3,1,122,1,0,-0.4126769435051684,0.3497855637081344,0.31119298710678706,0.24515912196967315,0.08250251743824966,1.2052359933114296,0.14222178844000366
